Key,Text
name,中文
Welcome,通过一次安装多个程序节省时间并提升您的Windows性能。加入我们，改进工具，使其更加优秀。
System_Info,系统信息
Power_Options,电源选项
Device_Manager,设备管理器
Services,服务
Networks,网络
Apps_features,应用特性
Task_Manager,任务管理器
Disk_Managment,磁盘管理
Msconfig,系统配置
Environment_Variables,环境变量
Install,安装
Apply,应用
Downloading,下载中
About,关于
Third_party,第三方
Preferences,偏好
Management,管理
Apps,应用
Tweaks,调整
Settings,设置
Save,保存选定应用
Restore,恢复选定应用
Music,音乐
On,开启
Off,关闭
Reset_preferences,重置偏好设置
Dark,深色
Light,浅色
Use_system_setting,系统
Create_desktop_shortcut,创建桌面快捷方式
Reopen_itt_again,请重新打开ITT。
Theme,主题
Language,语言
Browsers_extensions,浏览器扩展
All,都
Create_restore_point,创建还原点
Portable_Downloads_Folder,便携下载文件夹
Install_msg,是否要安装选定的应用
Apply_msg,是否要应用选定的调整
instAlling,安装中..
Applying,应用中..
Please_wait,请等待，后台有进程在进行中。
Last_update,最后更新
Exit_msg,您确定要关闭程序吗？如果有任何安装正在进行，它们将被终止。
easter_egg, 你能发现隐藏的秘密吗？深入源代码，成为第一个发现功能的人，并将其集成到工具中
system_protection,系统保护
web browsers,网页浏览器
media,媒体
media tools,媒体工具
documents,文档
compression,压缩
communication,通讯
file sharing,文件共享
imaging,图像处理
gaming,游戏
utilities,实用工具
disk tools,磁盘工具
development,开发
security,安全
portable,便携版
runtimes,运行时
drivers,驱动程序
privacy,隐私
fixer,修复工具
performance,性能
personalization,个性化
power,电力
protection,保护
classic,经典
auto,自动
package_manager,包管理器
